tconst,primary_title,original_title,start_year,runtime_minutes,averageRating,numVotes
tt1181343,La Traviata,La Traviata,2006,144,8.3,29
tt1182337,Yesterday,Yesterday,1967,\N,NA,NA
tt1185616,Waltz with Bashir,Vals Im Bashir,2008,90,8,53494
tt1194447,Water,Water,NA,\N,NA,NA
tt1206488,The Milk of Sorrow,La teta asustada,2009,95,6.7,6437
tt1230439,Trash,Trash,2009,91,5.2,103
tt1235166,A Prophet,Un prophète,2009,155,7.9,90005
tt1255953,Incendies,Incendies,2010,131,8.3,132992
tt1276419,A Royal Affair,En kongelig affære,2012,137,7.5,42219
tt1305806,The Secret in Their Eyes,El secreto de sus ojos,2009,129,8.2,180380
tt1308670,Three,Three,2008,\N,4.1,12
tt1313160,The Mission,The Mission,NA,\N,NA,NA
tt1326278,Yesterday,Yesterday,2009,95,5.8,71
tt1329126,Cyrano de Bergerac,Cyrano de Bergerac,2008,140,7,19
tt1340107,In a Better World,Hævnen,2010,118,7.6,37270
tt1362468,The Promised Land,The Promised Land,2009,63,4,9
tt1379087,The Mission,The Mission,2008,\N,NA,NA
tt1379182,Dogtooth,Kynodontas,2009,97,7.3,74103
tt1388356,No Man's Land,No Man's Land,2009,\N,NA,NA
tt1390476,Miss Julie,Miss Julie,2009,93,5.2,10
tt1417075,In Darkness,In Darkness,2011,145,7.3,9648
tt1440266,Pina,Pina,2011,103,7.7,13900
tt1441912,The Way,The Way,2010,123,7.4,28828
tt1445520,Footnote,Hearat Shulayim,2011,107,7.1,5492
tt1456660,No Man's Land,Wu ren qu,2013,118,7.3,1885
tt1518209,The Hunt,Medibas,2009,120,5.4,32
tt1519473,Timbuktu,Timbuktu,NA,\N,NA,NA
tt1557561,Downfall,Downfall,2005,90,NA,NA
tt1562437,Missing,Sil jong,2009,99,6,539
tt1574615,Journey of Hope,Journey of Hope,2003,\N,NA,NA
tt1577111,Underground,Underground,2010,83,6.9,62
tt1577123,Yesterday,Yesterday,2009,60,NA,NA
tt1579822,No,No,2005,132,NA,NA
tt1583266,Hero,Hero,2008,\N,3.3,43
tt1602620,Amour,Amour,2012,127,7.9,88150
tt1613750,Kon-Tiki,Kon-Tiki,2012,118,7.2,43366
tt1645769,Loveless,Loveless,2011,91,7.3,21
tt1657885,First Love,First Love,2010,52,7.1,95
tt1663702,Water,Water,2006,87,5.7,202
tt1666154,Before the Rain,Before the Rain,2010,90,7.5,16
tt1692226,The Way,The Way,2010,107,7,8
tt1707386,Les Misérables,Les Misérables,2012,158,7.6,295503
tt1717733,Underground,Underground,NA,\N,NA,NA
tt1728973,The Family,The Family,2011,88,3.8,1217
tt1730118,Downfall,Downfall,1964,59,6.9,38
tt1787747,The Salesman,Le vendeur,2011,107,7,567
tt1787927,Torment,Torment,2010,64,NA,NA
tt1793239,The Assault,L'assaut,2010,91,6.1,3402
tt1811371,Underground,Underground,2011,87,3.9,1541
tt1820488,War Witch,Rebelle,2012,90,7.1,6820
tt1821593,Bullhead,Rundskop,2011,129,7.4,21347
tt1828216,Journey of Hope,Journey of Hope,2010,46,NA,NA
tt1832382,A Separation,Jodaeiye Nader az Simin,2011,123,8.3,206664
tt1920996,The Star Maker,La máquina que hace estrellas,2012,80,7.3,35
tt1921111,The Child,The Child,2012,100,4.2,804
tt1921149,Trash,Trash,2014,114,7.2,19413
tt1961271,Devdas,Devdas,2013,150,5,151
tt1987567,First Love,First Love,2010,135,6.2,38
tt1988822,Trash,Trash,2010,75,NA,NA
tt2011971,Monsieur Lazhar,Monsieur Lazhar,2011,95,7.5,18588
tt2024519,The Broken Circle Breakdown,The Broken Circle Breakdown,2012,111,7.8,37593
tt2059255,No,No,2012,118,7.4,22056
tt2069756,Dogman,Dogman,2012,91,3.3,243
tt2077889,The Promised Land,The Promised Land,NA,\N,NA,NA
tt2083272,No Man's Land,No Man's Land,NA,\N,NA,NA
tt2091270,Crossfire,Crossfire,2011,\N,NA,NA
tt2106476,The Hunt,Jagten,2012,115,8.3,257043
tt2119492,Otello,Otello,2012,\N,7.6,5
tt2126386,The Warrior,The Warrior,2011,87,6.9,17
tt2132477,Taxi Driver,Taxi Driver,1970,135,NA,NA
tt2147964,Roma,Roma,2011,48,NA,NA
tt2176228,As It Is in Heaven,As It Is in Heaven,2014,86,7.3,78
tt2186715,Cold War,Hon zin,2012,102,6.7,3980
tt2218198,If,If,NA,98,NA,NA
tt2263896,Beyond the Walls,Beyond the Walls,2012,48,NA,NA
tt2298738,Miss Julie,Fröken Julie,2013,85,4,117
tt2298990,Life Is Beautiful,Life Is Beautiful,2012,167,6.3,645
tt2299792,A Special Day,Un giorno speciale,2012,89,5.7,250
tt2322182,Otello,Otello,1958,135,NA,NA
tt2332522,Leviathan,Leviathan,2012,87,6.6,3059
tt2375605,The Act of Killing,The Act of Killing,2012,117,8.2,32825
tt2378581,Water,Water,2014,\N,NA,NA
tt2382622,After the Wedding,After the Wedding,2017,88,4.5,118
tt2387408,The Damned,Gallows Hill,2013,87,5.2,5761
