tconst,primary_title,original_title,start_year,runtime_minutes,averageRating,numVotes
tt0083226,Three Brothers,Tre fratelli,1981,113,7.2,1331
tt0083543,Alsino and the Condor,Alsino y el cóndor,1982,89,6.6,237
tt0083594,The Turning Point,Der Aufenthalt,1983,102,6.5,127
tt0083789,Danton,Danton,1983,136,7.5,5970
tt0083922,Fanny and Alexander,Fanny och Alexander,1982,188,8.1,53922
tt0083946,Fitzcarraldo,Fitzcarraldo,1982,158,8.1,28986
tt0084065,Hero,Hero,1982,92,3.5,42
tt0084240,Julieta,Julieta,1983,87,7.2,16
tt0084335,Missing,Missing,1982,122,7.7,17400
tt0084338,The Mission,Ferestadeh,1983,103,6.6,165
tt0084340,Les Misérables,Les misérables,1982,220,7.3,750
tt0084472,Parasite,Parasite,1982,85,3.8,1994
tt0085202,The Farewell,Avskedet,1982,90,5.7,40
tt0085213,Le Bal,Le bal,1983,112,7.8,2374
tt0085297,Carmen,Carmen,1983,102,7.6,2785
tt0085298,Carmen,Carmen,1983,109,7.6,8
tt0085370,Entre Nous,Coup de foudre,1983,110,7.2,1504
tt0085674,Hero,Hero,1983,104,6.5,53
tt0085767,The Revolt of Job,Jób lázadása,1983,105,7.5,469
tt0085810,War and Peace,Krieg und Frieden,1982,123,7.1,74
tt0087027,Camila,Camila,1984,107,6.9,1051
tt0087034,Carmen,Carmen,1984,152,7.5,1387
tt0087144,Dangerous Moves,La diagonale du fou,1984,110,6.6,952
tt0087150,Dim Sum: A Little Bit of Heart,Dim Sum: A Little Bit of Heart,1985,88,6.4,350
tt0087699,Beyond the Walls,Me'Ahorei Hasoragim,1984,103,6.9,288
tt0088811,Angry Harvest,Bittere Ernte,1985,105,7.1,697
tt0089115,Beyond the Walls,Extramuros,1985,118,6.1,184
tt0089276,The Official Story,La historia oficial,1985,112,7.7,7307
tt0089693,No Man's Land,No Man's Land,1985,110,6.5,94
tt0089716,Colonel Redl,Oberst Redl,1985,144,7.6,2539
tt0089748,When Father Was Away on Business,Otac na sluzbenom putu,1985,136,7.8,8275
tt0090095,Subway,Subway,1985,104,6.6,13412
tt0090206,Three Men and a Cradle,3 hommes et un couffin,1985,106,6.5,3185
tt0090257,My Sweet Little Village,Vesnicko má stredisková,1985,98,8,3536
tt0090295,The Warrior,Jaka Sembung,1981,92,6.3,199
tt0090297,Water,Water,1985,115,6.2,2129
tt0090352,Yesterday,Yesterday,1985,87,7,184
tt0090374,Life Is Beautiful,Zivot je lep,1985,104,7.5,466
tt0090563,Betty Blue,37°2 le matin,1986,120,7.4,16674
tt0090576,The Assault,De aanslag,1986,155,7.2,2923
tt0090985,The Decline of the American Empire,Le déclin de l'empire américain,1986,101,7.3,7441
tt0091147,The Grandfather,Pedarbozorg,1986,\N,7.3,32
tt0091288,Jean de Florette,Jean de Florette,1986,120,8,22975
tt0091530,The Mission,The Mission,1986,125,7.4,53190
tt0091699,Otello,Otello,1986,118,6.8,486
tt0092100,Torment,Torment,1986,85,3.7,84
tt0092584,Course Completed,Asignatura aprobada,1987,94,6.2,203
tt0092603,Babette's Feast,Babettes gæstebud,1987,103,7.8,17014
tt0092853,Dear John,Dear John,1988,108,4.7,21
tt0093004,The Family,La famiglia,1987,127,7.4,1891
tt0093638,No Man's Land,No Man's Land,1987,106,6.1,3968
tt0093668,Pathfinder,Ofelas,1987,86,7.2,4681
tt0093713,Pelle the Conqueror,Pelle erobreren,1987,157,7.8,9565
tt0094828,Camille Claudel,Camille Claudel,1988,175,7.3,5857
tt0095276,Hanussen,Hanussen,1988,140,7.2,1489
tt0095606,The Music Teacher,Le maître de musique,1988,100,7.1,812
tt0095675,Women on the Verge of a Nervous Breakdown,"Mujeres al borde de un ataque de ""nervios""",1988,88,7.5,33182
tt0095719,The Nest,The Nest,1988,89,5.3,1937
tt0095765,Cinema Paradiso,Nuovo Cinema Paradiso,1988,155,8.5,212704
tt0096028,Salaam Bombay!,Salaam Bombay!,1988,113,8,7994
tt0097635,Jesus of Montreal,Jésus de Montréal,1989,118,7.5,6610
tt0097737,Leviathan,Leviathan,1989,98,5.8,17415
tt0099334,Cyrano de Bergerac,Cyrano de Bergerac,1990,137,7.5,21401
tt0099902,Ju Dou,Ju Dou,1990,95,7.7,7134
tt0100389,Open Doors,Porte aperte,1990,108,7.1,738
tt0100470,Journey of Hope,Reise der Hoffnung,1990,110,7.5,1787
tt0100557,The Nasty Girl,Das schreckliche Mädchen,1990,94,7.3,2326
tt0100846,Underground,Underground,1989,90,3.8,40
tt0101410,Barton Fink,Barton Fink,1991,116,7.7,107711
tt0101526,Children of Nature,Börn náttúrunnar,1991,82,7.3,1306
tt0101640,Raise the Red Lantern,Da hong deng long gao gao gua,1991,125,8.1,27548
tt0101700,Delicatessen,Delicatessen,1991,99,7.6,77188
tt0102426,Mediterraneo,Mediterraneo,1991,96,7.5,12956
tt0102571,The Elementary School,Obecná skola,1991,100,8,2579
tt0102663,The Pianist,The Pianist,1991,112,4.7,119
tt0103176,Close to Eden,Urga,1991,119,7.7,3275
tt0104046,Daens,Daens,1992,138,7.5,3640
tt0104350,The Best Intentions,Den goda viljan,1992,180,7.8,2780
tt0104403,Hedd Wyn,Hedd Wyn,1992,123,7,340
tt0104412,Hero,Hero,1992,119,6.5,20341
tt0104507,Indochine,Indochine,1992,159,7.1,8844
tt0104774,A Place in the World,Un lugar en el mundo,1992,120,7.8,2187
tt0105323,Scent of a Woman,Scent of a Woman,1992,156,8,243204
tt0106332,Farewell My Concubine,Ba wang bie ji,1993,171,8.1,23314
tt0106966,Strawberry and Chocolate,Fresa y chocolate,1993,108,7.4,5088
tt0107156,The Wedding Banquet,Xi yan,1993,106,7.7,13232
tt0107617,The Scent of Green Papaya,Mùi du du xanh,1993,104,7.3,7445
tt0107822,The Piano,The Piano,1993,121,7.6,75196
tt0108290,Tango,Tango,1993,88,6.1,1163
tt0109948,The Square,Guang Chang,1994,100,7.5,13
tt0110880,Dust of Life,Poussières de vie,1995,87,6.1,92
tt0110882,Before the Rain,Pred dozhdot,1994,113,8,13242
tt0110912,Pulp Fiction,Pulp Fiction,1994,154,8.9,1725765
tt0111579,Burnt by the Sun,Utomlennye solntsem,1994,135,7.9,13607
tt0111797,Eat Drink Man Woman,Yin shi nan nu,1994,124,7.8,17337
tt0112379,Antonia's Line,Antonia,1995,102,7.4,7872
tt0112942,Electra,Electra,1996,87,3.3,802
tt0113720,All Things Fair,Lust och fägring stor,1995,130,6.9,5368
tt0113828,Les Misérables,Les misérables,1995,175,7.4,3497
tt0114212,O Quatrilho,O Quatrilho,1995,92,6.7,1241
tt0114787,Underground,Underground,1995,170,8.1,52486
tt0114808,The Star Maker,L'uomo delle stelle,1995,113,7.4,4610
tt0116114,Diva,Diva,1996,\N,5.9,8
tt0116185,Elle,Elle,1995,86,6.7,17
tt0116692,Beyond Silence,Jenseits der Stille,1996,109,7.4,3976
tt0116754,Prisoner of the Mountains,Kavkazskiy plennik,1996,99,7.5,4028
tt0116790,Kolya,Kolja,1996,105,7.8,13938
tt0117050,A Chef in Love,Shekvarebuli kulinaris ataserti retsepti,1996,100,6.6,589
tt0117477,Ridicule,Ridicule,1996,102,7.4,6920
tt0117817,The Other Side of Sunday,Søndagsengler,1996,103,6.8,1132
tt0117833,Tango,Tango,1996,58,5.5,14
tt0117959,The Truce,La tregua,1997,125,6.6,1526
tt0118799,Life Is Beautiful,La vita è bella,1997,116,8.6,582455
tt0118849,Children of Heaven,Bacheha-Ye aseman,1997,89,8.3,58217
tt0119448,Character,Karakter,1997,122,7.7,10135
tt0119586,Lucie Aubrac,Lucie Aubrac,1997,115,6.6,1121
tt0119683,Les Misérables,Les Misérables,1998,134,7.5,36804
tt0119815,Four Days in September,"O Que é Isso, Companheiro?",1997,110,7.4,4330
tt0120090,Secrets of the Heart,Secretos del corazón,1997,105,7.1,1655
tt0120274,Tango,Tango,1998,115,7.1,2709
tt0120408,The Eel,Unagi,1997,117,7.4,5228
tt0122194,Trash,Trash,1999,95,5.6,305
tt0123102,Hero,Hero,1983,173,6.7,710
tt0124207,The Thief,Vor,1997,96,7.7,4682
tt0129320,First Love,Primo amore,1978,115,6.7,229
tt0130946,Plácido,Plácido,1986,96,NA,NA
tt0131702,Downfall,Der Absturz,1923,\N,6.9,12
tt0133342,First Love,Ahava Rishonah,1982,90,6.6,5
tt0135508,The Damned,Oi kolasmenoi,1953,80,NA,NA
tt0136242,Hero,Ma Yong Zhen,1997,97,6.3,504
tt0140620,The Promised Land,La tierra prometida,1973,80,6.9,62
tt0140888,Central Station,Central do Brasil,1998,110,8,33978
tt0141627,Mustang,Mustang,1975,94,6.3,34
tt0146328,The Turning Point,The Turning Point,1920,\N,NA,NA
tt0150474,"Yesterday, Today and Tomorrow","Eoje, oneul, geurigo naeil",1975,88,NA,NA
tt0157177,Water,Water,1968,\N,NA,NA
tt0157676,Outside the Law,Fuera de la ley,1998,91,5.4,5
tt0158302,Under the Sun,Under solen,1998,130,6.7,2212
tt0159525,The Last Chance,The Last Chance,1937,76,5.9,8
tt0159808,Underground,Underground,1997,\N,7,38
tt0160116,Carmen,Carmen,1909,\N,4.4,10
tt0160166,Cyrano de Bergerac,Cirano di Bergerac,1923,113,6.8,274
tt0160388,The Hunt,The Hunt,1997,90,7.3,24
tt0160445,The Last Chance,The Last Chance,1926,52,7.1,7
tt0161860,Nowhere in Africa,Nirgendwo in Afrika,2001,141,7.5,12012
tt0163529,The Assault,The Assault,1998,85,4,157
tt0163707,The Last Chance,Scacco internazionale,1968,100,5.8,23
tt0167509,Life Is Beautiful,Zivot je krásný,1940,98,7.4,30
tt0170783,Yesterday,Vchera,1988,84,9.1,3039
tt0176415,The Grandfather,El abuelo,1998,151,7.3,1658
tt0178299,Carmen,Carmen,1943,96,7,14
tt0180877,Nights and Days,Noci i jutra,1959,97,5.8,8
tt0181830,Solomon & Gaenor,Solomon and Gaenor,1999,105,6.8,1119
tt0182028,Cyrano de Bergerac,Cyrano de Bergerac,1946,100,6.2,19
tt0185125,All About My Mother,Todo sobre mi madre,1999,101,7.8,84142
tt0186508,Buena Vista Social Club,Buena Vista Social Club,1999,105,7.6,15811
tt0186715,"Yesterday, Today and Tomorrow","Yesterday, Today and Tomorrow",1986,87,7.4,9
tt0187542,Taxi Driver,Taxi Driver,1978,\N,5.4,30
tt0189744,Miss Julie,Miss Julie,1999,103,6.2,1424
tt0190332,"Crouching Tiger, Hidden Dragon",Wo hu cang long,2000,120,7.8,245337
tt0191065,Danton,Danton,1932,\N,NA,NA
tt0192772,War and Peace,War and Peace,1998,\N,NA,NA
tt0192947,12,12,2003,124,7.5,40
tt0195214,Revanche,Revanche,1922,\N,NA,NA
tt0197494,Outside the Law,Fuera de la ley,1937,90,6.8,22
tt0200071,Rosetta,Rosetta,1999,95,7.5,12025
tt0200541,The Salesman,Il commesso viaggiatore,2001,\N,5.6,9
tt0201289,Underground,Underground,1991,87,NA,NA
tt0202644,Underground,Underground,1998,93,7,53
tt0206608,The Farewell,Abschied - Brechts letzter Sommer,2000,97,6.2,164
tt0208552,Private Life,La vida privada,1996,\N,NA,NA
tt0209037,Everybody's Famous!,Iedereen beroemd!,2000,97,6.9,3065
tt0209510,Twin Sisters,Zi mei hua,1934,82,6.2,85
tt0210727,Himalaya,Himalaya - l'enfance d'un chef,1999,108,7.5,4928
tt0211323,Crossfire,Crossfire,1998,90,5.6,51
tt0211915,Amélie,Le fabuleux destin d'Amélie Poulain,2001,122,8.3,673890
tt0212040,Carmen,Carmen,1969,164,7.8,54
tt0213761,Kapo,Kapo,1999,55,8.4,16
tt0214211,Turkish Delight,Turkish Delight,1986,\N,6.7,17
tt0216787,The Taste of Others,Le goût des autres,2000,112,7.2,8684
tt0218144,The Last Metro,Dernier métro,1945,98,7.1,8
tt0218956,Electra,Electra,1990,96,3.1,65
tt0219972,Underground,Podpolye,1918,\N,NA,NA
tt0220644,The Mission,Cheung foh,1999,84,7.5,4708
tt0220801,Tango,Tango,1990,\N,NA,NA
tt0224251,Three,Three,1987,\N,NA,NA
tt0229432,First Love,Hatsukoi,2000,113,6.9,215
tt0230500,A Man and a Woman,A Man and a Woman,1916,\N,NA,NA
tt0230859,Taxi Driver,Taxi Driver,1973,118,6.2,26
tt0234288,Divided We Fall,Musíme si pomáhat,2000,120,7.6,4762
tt0235658,Paradise Now,Paradise Now,1970,105,5.5,16
tt0237853,Three Brothers,Tri brata,2000,80,6.9,41
tt0238936,Devdas,Devdas,2002,185,7.6,36193
tt0240200,Water,Water,2005,117,7.7,13896
tt0242027,Yesterday,Tegnap,1919,46,NA,NA
tt0245157,Zus & Zo,Zus & zo,2001,106,6.2,1543
tt0245319,No,Nie,1978,90,7.6,5
tt0245574,Y Tu Mamá También,Y tu mamá también,2001,106,7.6,110382
tt0245712,Amores Perros,Amores perros,2000,154,8.1,213164
tt0245942,Hero,Hero,1984,\N,6.3,31
tt0249859,Otello,Otello,1974,142,7.7,37
tt0250422,Hero,Hero,1992,\N,NA,NA
tt0251298,No Man's Land,No Man's Land,1964,72,6.7,6
tt0253474,The Pianist,The Pianist,2002,150,8.5,679268
tt0256721,Devdas,Devdas,1928,\N,6.4,21
tt0263089,Torment,Azap,1973,85,6.8,85
tt0264083,Tango,Tango,1984,\N,NA,NA
tt0265343,Monsoon Wedding,Monsoon Wedding,2001,114,7.3,22609
tt0266870,Crossfire,Kurosufaia,2000,115,6.2,455
tt0267065,A Simple Story,Une si simple histoire,1970,97,8.6,11
tt0267667,The Child,Lekroo,2000,133,7.4,11
tt0267884,Revanche,Revanche,1983,105,6.4,79
tt0271815,Tango,Tango,1933,87,NA,NA
tt0272217,No Man's Land,No Man's Land,2000,90,7.2,41
tt0275083,The Warrior,Musa,2001,158,7.2,10526
tt0276127,The Family,The Family,1970,45,2.6,8
tt0277352,Subway,Subway,1983,66,6.9,10
tt0277799,Life Is Beautiful,Life Is Beautiful,2000,\N,6.3,619
tt0279064,Elling,Elling,2001,89,7.5,13707
tt0280990,The Nest,Nid de guêpes,2002,107,6.7,5203
tt0281869,Outside the Law,Fuera de la ley,1966,90,NA,NA
tt0283509,No Man's Land,No Man's Land,2001,98,7.9,43010
tt0284193,First Love,El hub el awal,1945,\N,NA,NA
tt0290014,Outside the Law,Outside the Law,2002,90,4.3,351
tt0290948,Immortal Love,Ölmeyen ask,1966,85,7.3,46
tt0292542,Son of the Bride,El hijo de la novia,2001,123,7.8,14133
tt0295054,The Damned,Zatracení,2002,98,5.6,47
tt0295682,The Warrior,The Warrior,2001,86,6.7,2353
tt0296032,Scarecrow,Kakashi,2001,86,5.2,593
tt0296187,Secrets of the Heart,Secrets of the Heart,2000,\N,NA,NA
tt0299977,Hero,Ying xiong,2002,107,7.9,169444
tt0306110,The Sweet Life,The Sweet Life,2003,86,7.2,47
tt0307686,Yesterday,Yesterday,1968,\N,NA,NA
tt0310154,In This World,In This World,2002,88,7.3,4009
tt0310910,Confidence,Confidence,2003,97,6.7,32712
tt0311356,War and Peace,Jang Aur Aman,2002,148,8.2,119
tt0311519,The Man Without a Past,Mies vailla menneisyyttä,2002,97,7.7,21077
tt0312514,Taxi Driver,Byeolmyeongbuteun unjeonsa,1977,100,NA,NA
tt0318110,Tango,Tango,1969,76,NA,NA
tt0318268,Water,Ab,1975,\N,7.2,13
tt0318364,First Love,Cheot sarang,1965,82,NA,NA
tt0322004,Devdas,Devdas,2002,140,7.4,90
tt0322674,Twin Sisters,De Tweeling,2002,137,7.4,6305
tt0324064,The Star Maker,The Star Maker,1968,\N,6.5,8
tt0326441,Yesterday,Yeseuteodei,2002,121,5,714
tt0330428,If,If,1916,\N,NA,NA
tt0332227,Macario,Macario,1973,\N,NA,NA
tt0332458,A Simple Story,Une simple histoire,1959,68,7,139
tt0334469,Tango,Tango,1976,\N,NA,NA
tt0338135,The Barbarian Invasions,Les invasions barbares,2003,99,7.6,27466
tt0338309,Evil,Ondskan,2003,113,7.8,34456
tt0339786,Three,Three,2002,\N,8.4,16
tt0342076,First Love,Awal gharam,1956,\N,NA,NA
tt0342973,War and Peace,Sensô to heiwa,1947,100,6.3,6
tt0351817,The Twilight Samurai,Tasogare Seibei,2002,129,8.1,21168
tt0352230,Carmen,Carmen,2003,119,6.1,1877
tt0352699,Parasite,Parasite,2004,93,2.5,498
tt0360456,Carmen,Carmen,1995,98,6.1,46
tt0360652,If,If,2003,88,5.7,35
tt0361503,Devdas,Devdas,1935,141,6.7,33
tt0362961,The Pedestrian,The Pedestrian,2003,90,5.8,42
tt0363163,Downfall,Der Untergang,2004,156,8.2,316100
tt0363589,Elephant,Elephant,2003,81,7.2,82594
tt0368798,First Love,Ilk ask,1960,\N,NA,NA
tt0369702,The Sea Inside,Mar adentro,2004,126,8,74597
tt0370260,The Last Chance,Akher forsa,1962,\N,NA,NA
